,first-author,first-author-gender,first-author-affiliation,last-author,last-author-gender,last-author-affiliation,title
195,Jinsung Yoon,Male,"University of California, Los Angeles",Mihaela van der Schaar,Male,University of Oxford,RadialGAN: Leveraging multiple datasets to improve target-specific predictive models using Generative Adversarial Networks
196,Shengyang Sun,Male,University of Toronto,Roger Grosse,Male,University of Toronto and Vector Institute,Differentiable Compositional Kernel Learning for Gaussian Processes
197,Minyoung Kim,Male,"SeoulTech, Rutgers University",Minyoung Kim,Male,"SeoulTech, Rutgers University",Markov Modulated Gaussian Cox Processes for Semi-Stationary Intensity Modeling of Events Data
198,Marc Abeille,Male,Criteo,Alessandro Lazaric,Male,Facebook AI Research,Improved Regret Bounds for Thompson Sampling in Linear Quadratic Control Problems
199,Simon Olofsson,Male,Imperial College London,Ruth Misener,Female,Imperial College London,Design of Experiments for Model Discrimination Hybridising Analytical and Data-Driven Approaches
200,Sergey Ivanov,Male,Criteo,Evgeny Burnaev,Male,Skoltech,Anonymous Walk Embeddings
201,Robert Bamler,Male,UC Irvine,Stephan Mandt,Male,UC Irvine,Improving Optimization in Models With Continuous Symmetry Breaking
202,Ciwan Ceylan,Male,RWTH,Michael Gutmann,Male,University of Edinburgh,Conditional Noise-Contrastive Estimation of Unnormalised Models
203,Timothee Lacroix,Male,Facebook,Guillaume Obozinski,Male,Ecole des Ponts - ParisTech,Canonical Tensor Decomposition for Knowledge Base Completion
204,Siyuan Ma,Male,The Ohio State University,Mikhail Belkin,Male,Ohio State University,The Power of Interpolation:  Understanding the Effectiveness of SGD in Modern Over-parametrized Learning
205,Kaiwen Zhou,Male,The Chinese University of Hong Kong,James Cheng,Male,CUHK,A Simple Stochastic Variance Reduced Algorithm with Fast Convergence Rates
206,Hadi Daneshmand,Male,ETH Zurich,Thomas Hofmann,Male,ETH Zurich,Escaping Saddles with Stochastic Gradients
207,Hanlin Tang,Male,University of Rochester,Ji Liu,Male,University of Rochester,$D^2$: Decentralized Training over Decentralized Data
208,Neil Rabinowitz,Male,DeepMind,Matthew Botvinick,Male,DeepMind,Machine Theory of Mind
209,Sam Ritter,Male,DeepMind,Matthew Botvinick,Male,DeepMind,"Been There, Done That: Meta-Learning with Episodic Recall"
210,Bin Gu,Male,University of Pittsburgh,Heng Huang,Male,University of Pittsburgh,Faster Derivative-Free Stochastic Algorithm for Shared Memory Machines
211,Sinong Wang,Male,The Ohio State University,Ness Shroff,Male,The Ohio State University,Coded Sparse Matrix Multiplication
212,Francisco Ruiz,Male,University of Cambridge / Columbia University,David Blei,Male,Columbia University,Augment and Reduce: Stochastic Inference for Large Categorical Distributions
213,Oleg Arenz,Male,TU Darmstadt,Mingjun Zhong,Male,University of Lincoln,Efficient Gradient-Free Variational Inference using Policy Search
214,Alex Alemi,Male,Google,Kevin Murphy,Male,Google Brain,Fixing a Broken ELBO
215,Liqun Chen,Female,Duke University,Lawrence Carin,Male,Duke,Variational Inference and Model Selection with Generalized Evidence Bounds
216,ALEXANDROS GEORGOGIANNIS,Male,TECHNICAL UNIVERSITY OF CRETE,ALEXANDROS GEORGOGIANNIS,Male,TECHNICAL UNIVERSITY OF CRETE,The Generalization Error of Dictionary Learning with Moreau Envelopes
217,Jiashun Jin,Male,Carnegie Mellon University,Shengming Luo,Male,CMU,Network Global Testing by Counting Graphlets
218,Richard Zhang,Male,"University of California, Berkeley",Somayeh Sojoudi,Female,"University of California, Berkeley",Large-Scale Sparse Inverse Covariance Estimation via Thresholding and Max-Det Matrix Completion
219,Travis Gibson,Male,Harvard Medical School,Georg Gerber,Male,Harvard Medical School,Robust and Scalable Models of Microbiome Dynamics
220,Xuhong LI,Female,CNRS/UTC Heudiasyc,Franck Davoine,Male,"CNRS, Université de technologie de Compiègne",Explicit Inductive Bias for Transfer Learning with Convolutional Networks
221,Zhao Chen,Male,"Magic Leap, Inc",Andrew Rabinovich,Male,"Magic Leap, Inc.",GradNorm: Gradient Normalization for Adaptive Loss Balancing in Deep Multitask Networks
222,Piotr Bojanowski,Male,Facebook,Arthur Szlam,Male,Facebook,Optimizing the Latent Space of Generative Networks
223,Morino Pan,Male,Fudan University,Daizong Ding,Male,Fudan University,Theoretical Analysis of Image-to-Image Translation with Adversarial Learning
224,Tuomas Haarnoja,Male,UC Berkeley,Sergey Levine,Male,Berkeley,Soft Actor-Critic: Off-Policy Maximum Entropy Deep Reinforcement Learning with a Stochastic Actor
225,Paavo Parmas,Male,Okinawa Institute of Science and Technology Graduate University,Kenji Doya,Male,Okinawa Institute of Science and Technology,PIPPS: Flexible Model-Based Policy Search Robust to the Curse of Chaos
226,Andreas Doerr,Male,"Bosch Center for Artificial Intelligence, Max Planck Institute for Intelligent Systems",Sebastian Trimpe,Male,Max Planck Institute for Intelligent Systems,Probabilistic Recurrent State-Space Models
227,Xiaoyu Lu,Male,University of Oxford,Neil Lawrence,Male,Amazon,Structured Variationally Auto-encoded Optimization
228,Sue Zheng,Male,MIT,John Fisher,Male,MIT,A Robust Approach to Sequential Information Theoretic Planning
229,Miles Lopes,Male,"University of California, Davis",Michael Mahoney,Male,UC Berkeley,Error Estimation for Randomized Least-Squares Algorithms via the Bootstrap
230,Zhengyuan Zhou,Male,Stanford University,Franck Davoine,Male,Stanford University,Distributed Asynchronous Optimization with Unbounded Delays: How Slow Can You Go?
231,Jiaxiang Wu,Male,Tencent AI Lab,Tong Zhang,Male,Tecent AI Lab,Error Compensated Quantized SGD and its Applications to Large-scale Distributed Optimization
232,Ahmed Douik,Male,California Institute of technology,Babak Hassibi,Male,Caltech,Low-Rank Riemannian Optimization on Positive Semidefinite Stochastic Matrices with Applications to Graph Clustering
233,Lukas Balles,Male,Max Planck Institute for Intelligent Systems,Philipp Hennig,Male,University of Tübingen,"Dissecting Adam: The Sign, Magnitude and Variance of Stochastic Gradients"
234,Thomas Dietterich,Male,(organization),Zhitang Chen,Male,Huawei Noah’s Ark Lab,Discovering and Removing Exogenous State Variables and Rewards for Reinforcement Learning
235,Matej Balog,Male,University of Cambridge and MPI Tübingen,Bernhard Schölkopf,Male,"MPI for Intelligent Systems Tübingen, Germany",Differentially Private Database Release via Kernel Mean Embeddings
236,Gail Weiss,Male,Technion,Eran Yahav,Male,Technion,Extracting Automata from Recurrent Neural Networks Using Queries and Counterexamples
237,Christian Walder,Male,"Data61, the Australian National University",Dongwoo Kim,Male,The Australian National University,Neural Dynamic Programming for Musical Self Similarity
238,Jiong Zhang,Male,University of Texas at Austin,Inderjit Dhillon,Male,UT Austin & Amazon,Learning long term dependencies via Fourier recurrent units
239,Mikolaj Binkowski,Male,Imperial College London,Philippe Donnat,Male,Hellebore Capital Limited,Autoregressive Convolutional Neural Networks for Asynchronous Time Series
240,Dane Corneil,Male,EPFL,Johanni Brea,Male,EPFL,Efficient Model-Based Deep Reinforcement Learning with Variational State Tabulation
241,Peter Jin,Male,UC Berkeley,Sergey Levine,Male,Berkeley,Regret Minimization for Partially Observable Deep Reinforcement Learning
242,Jiasen Yang,Male,Purdue University,Jennifer Neville,Female,Purdue University,Goodness-of-fit Testing for Discrete Distributions via Stein Discrepancy
243,Shinji Ito,Male,NEC Corporation,Ryohei Fujimaki,Male,-,Unbiased Objective Estimation in Predictive Optimization
244,Amirali Aghazadeh,Male,Stanford University,Richard Baraniuk,Male,OpenStax / Rice University,Ultra Large-Scale Feature Selection using Count-Sketches
245,Vladimir Braverman,Male,Johns Hopkins University,Lin Yang,Male,Princeton,"Matrix Norms in Data Streams: Faster, Multi-Pass and Row-Order"
246,Maithra Raghu,Female,Google Brain / Cornell University,Jon Kleinberg,Male,Cornell University,Can Deep Reinforcement Learning Solve Erdos-Selfridge-Spencer Games?
247,George Tucker,Male,Google Brain,Sergey Levine,Male,Berkeley,The Mirage of Action-Dependent Baselines in Reinforcement Learning
248,Zhibing Zhao,Male,Rensselaer Polytechnic Institute,Lirong Xia,Male,RPI,Composite Marginal Likelihood Methods for Random Utility Models
249,Adil El Mesaoudi-Paul,Male,University of Paderborn,Robert Busa-Fekete,Male,Yahoo Research,Ranking Distributions based on Noisy Sorting
250,Thomas Moreau,Male,"CMLA, ENS Paris-Saclay",Nicolas Vayatis,Male,"CMLA, ENS Paris Saclay",DICOD: Distributed Convolutional Coordinate Descent for Convolutional Sparse Coding
251,Zhihao Jia,Male,Stanford University,Alex Aiken,Male,Stanford University,Exploring Hidden Dimensions in Accelerating Convolutional Neural Networks
252,Jason Hartford,Male,University of British Columbia,Siamak Ravanbakhsh,Male,University of British Columbia,Deep Models of Interactions Across Sets
253,Noble Kennamer,Male,"University of California, Irvine",University of California Francisco Javier Sanchez-Lopez,Male,"University of California, Irvine",ContextNet: Deep learning for Star Galaxy Classification
254,Calvin Seward,Male,Zalando Research,Sepp Hochreiter,Male,Johannes Kepler University Linz,First Order Generative Adversarial Networks
255,Tianyu Pang,Male,Tsinghua University,Jun Zhu,Male,Tsinghua University,Max-Mahalanobis Linear Discriminant Analysis Networks
256,Asish Ghoshal,Male,Purdue University,Jean Honorio,Male,Purdue University,Learning Maximum-A-Posteriori Perturbation Models for Structured Prediction in Polynomial Time
257,Alexandre Garcia,Male,Telecom Paristech,Florence d'Alche-Buc,Male,"Télécom ParisTech, Université Paris-Saclay,Paris, France",Structured Output Learning with Abstention: Application to Accurate Opinion Prediction
258,Bo Dai,Male,Georgia Institute of Technology,Le Song,Male,Georgia Institute of Technology,SBEED: Convergent Reinforcement Learning with Nonlinear Function Approximation
259,Ofir Nachum,Male,Google Brain,Dale Schuurmans,Male,University of Alberta,Smoothed Action Value Functions for Learning Gaussian Policies
260,RJ Skerry-Ryan,Male,"Google, Inc.",Rif Saurous,Male,Google Research,Towards End-to-End Prosody Transfer for Expressive Speech Synthesis with Tacotron
261,Yuxuan Wang,Female,Google,Rif Saurous,Male,Google Research,"Style Tokens: Unsupervised Style Modeling, Control and Transfer in End-to-End Speech Synthesis"
262,Ahmed M. Alaa,Male,UCLA,Mihaela van der Schaar,Male,UCLA,AutoPrognosis: Automated Clinical Prognostic Modeling via Bayesian Optimization with Structured Kernel Learning
263,Amartya Sanyal,Male,University of Oxford,Varun Kanade,Male,University of Oxford,TAPAS: Tricks to Accelerate (encrypted) Prediction As a Service
264,Di Chen,Male,Cornell University,Carla Gomes,Female,Cornell University,End-to-End Learning for the Deep Multivariate Probit Model
265,Arthur Mensch,Male,Inria Parietal,Mathieu Blondel,Male,NTT,Differentiable Dynamic Programming for Structured Prediction and Attention
266,Junhong Lin,Male,EPFL,Volkan Cevher,Male,EPFL,Optimal Distributed Learning with Multi-pass Stochastic Gradient Methods
267,Dong Yin,Male,UC Berkeley,Peter Bartlett,Male,UC Berkeley,Byzantine-Robust Distributed Learning: Towards Optimal Statistical Rates
268,LIWEI WU,Male,"University of California, Davis",University of California James Sharpnack,Male,"University of California, Davis",SQL-Rank: A Listwise Approach to Collaborative Ranking
269,Minhao Cheng,Male,UC Davis,Cho-Jui Hsieh,Male,"University of California, Davis",Extreme Learning to Rank via Low Rank Assumption
270,Hanjun Dai,Male,Georgia Tech,Le Song,Male,Georgia Institute of Technology,Adversarial Attack on Graph Structured Data
271,Xi Wu,Male,Google,Somesh Jha,Male,"University of Wisconsin, Madison",Reinforcing Adversarial Robustness using Model Confidence Induced by Adversarial Training
272,Louis Filstroff,Male,"CNRS, Toulouse",Cedric Fevotte,Male,CNRS,Closed-form Marginal Likelihood in Gamma-Poisson Matrix Factorization
273,Ariel Jaffe,Male,Weizmann Institute of Science,Yuval Kluger,Male,Yale School of Medicine,Learning Binary Latent Variable Models: A Tensor Eigenpair Approach
274,Siwei Wang,Male,Tsinghua University,Wei Chen,Male,Microsoft,Thompson Sampling for Combinatorial Semi-Bandits
275,Ehsan Asadi Kangarshahi,Male,University of Cambridge,Volkan Cevher,Male,EPFL,Let’s be Honest: An Optimal No-Regret Framework for Zero-Sum Games
276,Hae Beom Lee,Male,UNIST,Sung Ju Hwang,Male,KAIST,Deep Asymmetric Multi-task Feature Learning
277,Ashwin Kalyan,Male,Georgia Tech,Dhruv Batra,Male,Georgia Institute of Technology / Facebook AI Research,Learn from Your Neighbor: Learning Multi-modal Mappings from Sparse Annotations
278,Dilin Wang,Male,UT Austin,Qiang Liu,Male,UT Austin,Stein Variational Message Passing for Continuous Graphical Models
279,Yi Wu,Male,UC Berkeley,Stuart Russell,Male,UC Berkeley,Discrete-Continuous Mixtures in Probabilistic Programming: Generalized Semantics and Inference Algorithms
280,Zhuohan Li,Male,Peking University,Tie-Yan Liu,Male,Microsoft Research Asia,Towards Binary-Valued Gates for Robust LSTM Training
281,Eliya Nachmani,Male,Facebook AI Research and Tel Aviv University,Lior Wolf,Male,Facebook AI Research and Tel Aviv University,Fitting New Speakers Based on a Short Untranscribed Sample
282,Matteo Papini,Male,Politecnico di Milano,Marcello Restelli,Male,Politecnico di Milano,Stochastic Variance-Reduced Policy Gradient
283,Ahmed Touati,Male,MILA / FAIR,Pascal Vincent,Male,U Montreal,Convergent Tree Backup and Retrace with Function Approximation
284,Jelena Diakonikolas,Female,Boston University,Orecchia Lorenzo,Male,Boston,Alternating Randomized Block Coordinate Descent
285,Vineet Gupta,Male,Google,Yoram Singer,Male,Google,Shampoo: Preconditioned Stochastic Tensor Optimization
286,Sebastian Claici,Male,MIT,Justin Solomon,Male,MIT,Stochastic Wasserstein Barycenters
287,Yang Song,Male,Stanford University,Stefano Ermon,Male,Stanford University,Accelerating Natural Gradient with Higher-Order Invariance
288,Markus Heinonen,Male,Aalto University,Harri Lähdesmäki,Male,Aalto University,Learning unknown ODE models with Gaussian processes
289,Marco Lorenzi,Male,Inria Sophia Antipolis,Maurizio Filippone,Male,Eurecom,Constraining the Dynamics of Deep Probabilistic Models
290,Lukasz Kaiser,Male,Google,Noam Shazeer,Male,Google,Fast Decoding in Sequence Models Using Discrete Latent Variables
291,Jiyuan Zhang,Male,Cargenie Mellon University,Tze Meng Low,Male,Carnegie Mellon University,High Performance Zero-Memory Overhead Direct Convolutions
292,Shuaiwen Wang,Male,Columbia University,Vahab Mirrokni,Male,Google Research,Approximate Leave-One-Out for Fast Parameter Tuning in High Dimensions
293,Daniele Calandriello,Male,INRIA Lille,Michal Valko,Male,DeepMind,Improved large-scale graph learning through ridge spectral sparsification
294,Jackson Wang,Male,Univeristy of Toronto,Richard Zemel,Male,Vector Institute,Distilling the Posterior in Bayesian Neural Networks
295,Ruoxi Sun,Male,Columbia University,Department of Statistics Liam Paninski,Male,"Department of Statistics, Columbia University",Scalable approximate Bayesian inference for particle tracking data
296,Alexey Drutsa,Male,Yandex,Alexey Drutsa,Male,Yandex,Weakly Consistent Optimal Pricing Algorithms in Repeated Posted-Price Auctions with Strategic Buyer
297,Dylan Foster,Male,Cornell University,Robert Schapire,Male,Microsoft Research,Practical Contextual Bandits with Regression Oracles
298,Difan Zou,Male,University of Virginia,Quanquan Gu,Male,UCLA,Stochastic Variance-Reduced Hamilton Monte Carlo Methods
299,Umut Simsekli,Male,Telecom ParisTech,Gaël RICHARD,Male,Télécom ParisTech,Asynchronous Stochastic Quasi-Newton MCMC for Non-Convex Optimization
300,Jinsung Yoon,Male,"University of California, Los Angeles",Mihaela van der Schaar,Male,University of Oxford,GAIN: Missing Data Imputation using Generative Adversarial Nets
301,Yaroslav Ganin,Male,Montreal Institute for Learning Algorithms,Oriol Vinyals,Male,DeepMind,Synthesizing Programs for Images using Reinforced Adversarial Learning
302,Valentin Khrulkov,Male,Skolkovo Institute Of Science And Technology,Ivan Oseledets,Male,Skoltech,Geometry Score: A Method For Comparing Generative Adversarial Networks
303,Scott Fujimoto,Male,McGill University,David Meger,Male,McGill University,Addressing Function Approximation Error in Actor-Critic Methods
304,Clint Ho,Male,Imperial College London,Wolfram Wiesemann,Male,Imperial College,Fast Bellman Updates for Robust MDPs
305,Alberto Maria Metelli,Male,Politecnico di Milano,Marcello Restelli,Male,Politecnico di Milano,Configurable Markov Decision Processes
306,Matt Bonakdarpour,Male,University of Chicago,John Lafferty,Male,Yale University,Prediction Rule Reshaping
307,Daniel Ma,Male,The University of Melbourne,James Bailey,Male,The University of Melbourne,Dimensionality-Driven Learning with Noisy Labels
308,Milad Hashemi,Male,Google,Partha Ranganathan,Male,"Google, USA",Learning Memory Access Patterns
309,Pierre Baque,Male,EPFL,EPFL Pascal Fua,Male,"EPFL, Switzerland",Geodesic Convolutional Shape Optimization
310,Samuel Greydanus,Male,Oregon State University,Alan Fern,Male,Oregon State University,Visualizing and Understanding Atari Agents
311,Dhruv Malik,Male,UC Berkeley,Anca Dragan,Female,"EECS Department, University of California, Berkeley","An Efficient, Generalized Bellman Update For Cooperative Inverse Reinforcement Learning"
312,Augustus Odena,Male,Google Brain,Ian Goodfellow,Male,Google Brain,Is Generator Conditioning Causally Related to GAN Performance?
313,Jihun Hamm,Male,The Ohio State University,Yung-Kyun Noh,Male,Seoul National University,K-Beam Minimax: Efficient Optimization for Deep Adversarial Learning
314,Vignesh Ganapathiraman,Male,University of Illinois at Chicago,Yaoliang Yu,Male,University of Waterloo,Inductive Two-Layer Modeling with Parametric Bregman Transfer
315,Weihua Hu,Male,The University of Tokyo,Masashi Sugiyama,Male,RIKEN / The University of Tokyo,Does Distributionally Robust Supervised Learning Give Robust Classifiers?
316,Pan Zhou,Male,National University of Singapore,Jiashi Feng,Male,National University of Singapore,Understanding Generalization and Optimization Performance of Deep CNNs
317,Thomas Laurent,Male,Loyola Marymount University,James von Brecht,Male,CSULB,The Multilinear Structure of ReLU Networks
318,Hossein Esfandiari,Male,Harvard University,Vahab Mirrokni,Male,Google Research,Parallel and Streaming Algorithms for K-Core Decomposition
